NAMA,LATITUDE,LONGITUDE,KETERANGAN,ALAMAT,TELEFON,FAX,EMAIL,WEBSITE,FACEBOOK,LINKEDIN,TWITTER,BLOGSPOT,FLICKR,RSS,YOUTUBE
Pusat Zakat Pulau Pinang,5.410945,100.438385,Pusat Zakat Pulau Pinang,No.4 Jalan perda Selatan Bandar Perda Bukit Mertajam Pulau Pinang 14000 Malaysia,04-5498088,04 5306466,-,http://www.zakatpenang.com/,,,,,,,
Pusat Zakat Sabah,5.961597,116.068539,Pusat Zakat Sabah,"Tingkat 1, Blok A & B, Wisma Muis, Peti Surat 11666, 88818 Kota Kinabalu, Sabah",088-240 160,088-260 246,zakatsabah@yahoo.com,http://www.zakat.sabah.gov.my/,,,,,,,
PUSPANITA Cawangan Negeri Sabah,5.951678,116.05077099999994,PUSPANITA Cawangan Negeri Sabah,"Wisma PUSPANITA, Jalan Murai, Tanjung Aru Peti Surat 15311, 88863 KOTA KINABALU SABAH, MALAYSIA",088 - 235266/235267,088 - 241266,jenas.pnita@sabah.gov.my,http://www.sabah.gov.my/pnita/,,,,,,,
Pustaka Negeri Sarawak,1.584658,110.35218399999997,Pustaka Negeri Sarawak,"Jalan Pustaka, Off Jalan Stadium, 93050, Kuching, Sarawak, Malaysia.",6082 - 442000,6082 - 449944,librarian@sarawak.gov.my,http://www.pustaka-sarawak.com,,,,,,,
Residen Bahagian Sri Aman,1.240439,111.45983999999999,Residen Bahagian Sri Aman,PEJABAT RESIDEN BAHAGIAN SRI AMAN JALAN ASTANA 95000 SRI AMAN SARAWAK,083-323366,083-320568,webmaster@sriamanro.sarawak.gov.my,http://www.sriamanro.sarawak.gov.my/,,,,,,,
Royal College of Medicine Perak (UNIKL RCMP),,,Royal College of Medicine Perak (UNIKL RCMP),"No. 3, Jalan Greentown, 30450 Ipoh, Perak Darul Ridzuan, Malaysia",605 - 243 2635 / 2637,605 -243 2636,"",http://www.perakmed.edu.my/index.php,,,,,,,
Sabah Biodiversity Centre,6.017269499999999,116.1097598,Pusat Biodiversiti Sabah,"Natural Resources Office, Chief Minister’s Department 7th Floor, Menara Tun Mustapha 88502 Kota Kinabalu Sabah, Malaysia",088-423111 ext. 2121,088-430573,sabc@sabah.gov.my,http://www.sabah.gov.my/sabc/,,,,,,,
Sabah Energy Corporation,5.978521,116.07601599999998,Sabah Energy Corporation,"Wisma Bandaraya, Jalan masjid Lama , 88000 Kota Kinabalu, Sabah",088-311290/311299,088-311361,info@sabahnergycorp.com,http://www.sabahenergycorp.com/,,,,,,,
Sabah Skills and Technology Centre,6.087634,116.166525,Sabah Skills and Technology Centre,"No. 8, Jalan 1C, KKIP Selatan, Industrial Zone 1 (IZ1), Kota Kinabalu Industrial Park (KKIP), 88460 Kota Kinabalu",088-496613/4,088-499615,sstc@sabah.edu.my,http://sstc.org.my/,,,,,,,
Sabah Urban Development Corporation Sdn Bhd,5.976474,116.11577699999998,Sabah Urban Development Corporation (SUDC),"9th Floor, Menara MAA, 6, Lorong Api-Api 1, 88000 Kota Kinabalu, Sabah, Malaysia. P.O Box 11911, 88821 Kota Kinabalu, Sabah, Malaysia.",(088)251144 / 258492,(088)239 469,"sudcsb@streamyx.com,",http://sudc.com.my/,,,,,,,
Sarawak Information Technology Resource Council (SITRC),,,Sarawak Information Technology Resource Council (SITRC),sarawak malaysia,"","","",http://www.sitrc.sarawak.gov.my,,,,,,,
Seranta (FELDA),2.9366817,101.69951679999997,Seranta (FELDA),"Pejabat Seranta (FELDA) , Jabatan Perdana Menteri,Aras 2, Blok Barat, Bangunan Perdana Putra, Pusat Pentadbiran Kerajaan Persekutuan 62502 Putrajaya",603-88724405,603-88886632,info@pajpm.gov.my,http://www.serantajpm.gov.my/,,,,,,,
Setiausaha Dewan Rakyat/Setiausaha Parlimen,3.150757,101.679618,Setiausaha Dewan Rakyat/Setiausaha Parlimen,Bangunan Parlimen 50680 Kuala Lumpur,+(603) 2072 1955,+(603) 2072 7436,info@parlimen.gov.my,-,,,,,,,
SIRIM BERHAD,3.0673315,101.51512679999996,SIRIM BERHAD,"No.1, Persiaran Dato' Menteri, P.O.Box 7035, Section 2, 40700 Shah Alam, Selangor Darul Ehsan.",1-300-88-7035,603-5544 6694,web@sirim.my,http://www.sirim.my/,http://www.facebook.com/SIRIM.Bhd,,https://twitter.com/SIRIM_Berhad,,,,http://www.youtube.com/channel/UCHdCKA6jIUviXw8qZYxDXqA?feature=results_main
Sistem Sokongan Elektronik Perlesenan Perniagaan (BLESS),2.938458,101.692508,Sistem Sokongan Elektronik Perlesenan Perniagaan (BLESS),"Implementation Coordination Unit (ICU), Prime Minister's Department, East Block, Ground Floor, Bangunan Perdana Putra, 62502 Putrajaya",0388881717,0388883702,bless@icu.gov.my,http://open.bless.gov.my/,,,,,,,
Sistem Upah Yang Dikaitkan dengan Produktivti (PLWS),,,Sistem Upah Yang Dikaitkan dengan Produktivti (PLWS),"","","","",http://www.plws.gov.my/v1/index.php/en/,,,,,,,
Suruhanjaya Hak Asasi Manusia Malaysia (SUHAKAM),3.152852,101.695112,Suruhanjaya Hak Asasi Manusia Malaysia (SUHAKAM),"11th Floor, Menara TH Perdana, Jalan Sultan Ismail, 50250 Kuala Lumpur",603-2612 5600,603-2612 5620,humanrights@suhakam.org.my,http://www.suhakam.org.my,http://www.facebook.com/SUHAKAM,,http://twitter.com/#!/SUHAKAM,,,,http://www.youtube.com/user/SUHAKAMTV?feature=watch
Suruhanjaya Integriti Agensi Penguatkuasaan(SIAP),2.927448,101.68830300000002,Suruhanjaya Integriti Agensi Penguatkuasaan,"Aras 5, Blok Menara, Bangunan Menara Usahawan, Persiaran Perdana, Presint 2, 62652",03 8888 1904,03 8888 6526,aduan@eaic.gov.my,http://www.eaic.gov.my/,http://www.facebook.com/suruhanjayaintegriti,,http://twitter.com/EAIC_GOV,,,,
Suruhanjaya Komunikasi dan Multimedia Malaysia (SKMM),2.921643,101.663681,Suruhanjaya Komunikasi dan Multimedia Malaysia (SKMM),Suruhanjaya Komunikasi dan Multimedia Malaysia Off Persiaran Multimedia 63000 Cyberjaya Selangor Darul Ehsan,603-8688 8000,603-8688 1000,ccd@cmc.gov.my,http://www.skmm.gov.my/,https://www.facebook.com/SuruhanjayaKomunikasiMultimediaMalaysia,,https://twitter.com/SKMM_MCMC,,,http://www.skmm.gov.my/Commons/RSS.aspx,http://www.youtube.com/user/broadbandmy
Suruhanjaya Koperasi Malaysia (SKM),3.167089,101.694779,Suruhanjaya Koperasi Malaysia (SKM),"Suruhanjaya Koperasi Malaysia, Tingkat 10-15, 17-19, Sunway Putra Tower, 100 Jalan Putra, 50350 Kuala Lumpur",0340474000,0340474100,webmaster@skm.gov.my,http://www.skm.gov.my,https://www.facebook.com/SuruhanjayaKoperasiMalaysia/129995657015192,,http://twitter.com/#!/skm_malaysia,,,,
Suruhanjaya Pelabuhan Pulau Pinang,5.41883,100.345247,"","Level 2, Swettenham Pier Cruise Terminal, No. 1A, King Edward Place, 10300 George Town, Penang, Malaysia",604-263 3211,604-262 6211,sppp@po.jaring.my,http://www.penangport.gov.my/,http://www.facebook.com/pages/Suruhanjaya-Pelabuhan-Pulau-Pinang/325259054155051,,https://twitter.com/#!/sppp1,,,,
Suruhanjaya Pelantikan Kehakiman (SPK),2.917604,101.68649,Suruhanjaya Pelantikan Kehakiman (SPK),"Suruhanjaya Pelantikan Kehakiman, Jabatan Perdana Menteri, Aras 5, Blok Utara, Istana Kehakiman, Precint 3, Pusat Pentadbiran Kerajaan Persekutuan",603-8880 3545,603-8880 3549,setiausaha@jac.gov.my,http://www.jac.gov.my/,,,,,,,
Suruhanjaya Pencegahan Rasuah Malaysia,2.937678,101.703314,Suruhanjaya Pencegahan Rasuah Malaysia,"Ibu Pejabat SPRM Blok D6, Kompleks D Pusat Pentadbiran Kerajaan Persekutuan Peti Surat 6000 62007 Putrajaya",603-88867000/1-800-886000,603-88889562,info@sprm.gov.my,http://www.sprm.gov.my/,https://www.facebook.com/sprm.benci.rasuah,,https://twitter.com/SPRMMalaysia,,,,
Suruhanjaya Pengangkutan Awam Darat,3.13374,101.686193,Suruhanjaya Pengangkutan Awam Darat (SPAD) adalah badan berkanun yang di tubuhkan di bawah akta Pengangkutan Awam Darat 2010.,"Blok D, Platinum Sentral, Jalan Stesen Sentral 2, Kuala Lumpur Sentral, 50470 Kuala Lumpur",1800-88-7723,03 - 2726 7100,-,http://www.spad.gov.my/,,,https://twitter.com/#!/aduanSPAD,,,,
Suruhanjaya Perkhidmatan Air Negara (SPAN),2.920194,101.657459,Suruhanjaya Perkhidmatan Air Negara (SPAN),"HEADQUARTERS National Water Services Commission, Ground and 1st Floor , Prima Avenue 7, Block 3510, Jalan Teknokrat 6, 63000 Cyberjaya",603-83179333/334/335,603-83179336/9339,span@span.gov.my,http://www.span.gov.my,,,,,,,
Suruhanjaya Perkhidmatan Awam Malaysia (SPA),2.936845,101.69987,Suruhanjaya Perkhidmatan Awam Malaysia (SPA),"Aras 6-10, Blok C7, Kompleks C, Pusat Pentadbiran Kerajaan Persekutuan, 62520 Putrajaya",603-8885 6000,603 8888 5036,"",http://www.spa.gov.my/Portal/,https://www.facebook.com/pages/Suruhanjaya-Perkhidmatan-Awam-Malaysia-SPA/119180408130615?ref=search,,,,http://www.flickr.com/photos/spa_malaysia/,http://www.spa.gov.my/Portal/Pautan_RSS,http://www.youtube.com/spajpm
Suruhanjaya Perkhidmatan Awam Negeri Johor,1.456963,103.762295,Suruhanjaya Perkhidmatan Awam Negeri Johor,"Aras 3, Blok A, Bangunan Dato' Abdul Rahman Andak, Kota Iskandar, 79000 Nusajaya, Johor Darul Ta'zim.",607 - 266 6422,607 - 290 9890,-,http://spaj.johordt.gov.my/,http://www.facebook.com/spaj#!/pages/Suruhanjaya-Perkhidmatan-Awam-Johor/210289302327705,,https://twitter.com/spajohor,,,,
Suruhanjaya Perkhidmatan Awam Negeri Kedah,,,Suruhanjaya Perkhidmatan Awam Negeri Kedah,"","","","",http://www.spakedah.gov.my/,,,,,,,
Suruhanjaya Perkhidmatan Awam Negeri Pahang,3.824973,103.32389990000001,Suruhanjaya Perkhidmatan Awam Negeri Pahang,"Pahang State Civil Service Commission Ground Floor, Wisma Sri Pahang 25520 Kuantan, Pahang",09-516 1482,09-516 1301,spa@pahang.gov.my,http://spa.pahang.gov.my/index.php/en/,,,,,,,
Suruhanjaya Perkhidmatan Awam Negeri Perak Darul Ridzuan,4.601839,101.07655499999998,Suruhanjaya Perkhidmatan Awam Negeri Perak Darul Ridzuan,"Suruhanjaya Perkhidmatan Awam Negeri Perak Aras 1, Kompleks Islam Darul Ridzuan, Jalan Panglima Bukit Gantang Wahab, 30000 Ipoh, Perak Darul Ridzuan.",605 - 254 0615,605 - 242 2239,spa@perak.gov.my,http://spa.perak.gov.my/,,,,,,,
Suruhanjaya Perkhidmatan Awam Negeri Sarawak,1.553379,110.33411799999999,Suruhanjaya Perkhidmatan Awam Negeri Sarawak,"Tingkat 9 dan 10, Wisma Satok Jalan Satok, 93400 Sarawak",6082 - 313390,6082 - 312239,spans@sarawak.gov.my,http://www.psc.sarawak.gov.my/,,,,,,,
Suruhanjaya Perkhidmatan Awam Negeri Selangor,3.074623,101.517901,Suruhanjaya Perkhidmatan Awam Negeri Selangor,"Tingkat 1, Bangunan Darul Ehsan, No. 3, Jalan Indah, Seksyen 14, 40000 Shah Alam, Selangor",0355111611,0355101261,spnadmin@selangor.gov.my,http://spn.selangor.gov.my,,,,,,,
Suruhanjaya Perkhidmatan Negeri Kelantan,6.1142452,102.23909090000006,Suruhanjaya Perkhidmatan Negeri Kelantan,"Blok 6, Kompleks Kota Darulnaim 15503 Kota Bharu, Kelantan",609-7485089,609-7486884,spn@kelantan.gov.my,http://www.spn.kelantan.gov.my,https://www.facebook.com/SPNKelantan,,http://twitter.com/#!/spnkelantan,,,,
Suruhanjaya Perkhidmatan Negeri Terengganu,5.311737,103.119912,Suruhanjaya Perkhidmatan Negeri Terengganu,Peti Surat No. 134 Pejabat Pos Besar 20710 Kuala Terengganu Terengganu Darul Iman,609 - 627 4163,609 - 622 3906,spn@terengganu.gov.my,http://spn.terengganu.gov.my/v4/index.php?lang=bm,,,,,,,
Suruhanjaya Perkhidmatan Pelajaran (SPP),2.936379,101.696121,Suruhanjaya Perkhidmatan Pelajaran (SPP),"Kompleks Jabatan Perdana Menteri Level 1, 62526 Putrajaya",603-8871 7300,603-8871 7499,webmaster@spp.gov.my,http://www.spp.gov.my,http://www.facebook.com/pages/SURUHANJAYA-PERKHIDMATAN-PELAJARAN/121787041228662,,http://twitter.com/#!/SPPmy,,,,
Suruhanjaya Persaingan Malaysia,3.133151,101.684335,Suruhanjaya Persaingan Malaysia,"Level 15, Menara SSM@Sentral, No.7 Jalan Stesen Sentral 5, Kuala Lumpur Sentral, 50623 Kuala Lumpur",0322732277,0322722293,enquiries@mycc.gov.my,http://www.mycc.gov.my,,,,,,,
Suruhanjaya Pilihan Raya Malaysia (SPR),2.937193,101.69971,Suruhanjaya Pilihan Raya Malaysia (SPR),"Aras 4-5, Blok C7 Kompleks C, Pusat Pentadbiran Kerajaan Persekutuan, 62690 Putrajaya, Malaysia.",603-8885 6500,603-8888 9117,info@spr.gov.my,http://www.spr.gov.my/,,,,,,,
Suruhanjaya Sekuriti,3.145508,101.645161,Suruhanjaya Sekuriti,"Corporate Affairs Department Securities Commission Malaysia 3, Persiaran Bukit Kiara Bukit Kiara 50490 Kuala Lumpur",603-6204 8000,603-6201 5078,cau@seccom.com.my,http://www.sc.com.my/,,,,,,,
Suruhanjaya Syarikat Malaysia (SSM),3.132642,101.684477,Suruhanjaya Syarikat Malaysia (SSM),"Menara SSM@Sentral No 7, Jalan Stesen Sentral 5 Kuala Lumpur Sentral 50623 Kuala Lumpur.",0322994400,0322994411,enquiry@ssm.com.my,http://www.ssm.com.my/,http://www.facebook.com/ssmofficialpage,,,,,,
Suruhanjaya Tenaga,2.919168,101.688466,Suruhanjaya Tenaga,"Suruhanjaya Tenaga No. 12, Jalan Tun Hussein Presint 2, 62100, Putrajaya",0388708500,0388888637,info@st.gov.my,http://www.st.gov.my,,,,,,,
Syarikat Air Johor,1.497103,103.745137,Syarikat Air Johor,"Jalan Garuda P.O. Box 262, Larkin, Johor Bahru",07-224 4040,7-223 4060,"",http://saj.com.my,,,,,,,
Syarikat Air Melaka Berhad (SAMB),2.204629,102.24597199999994,Syarikat Air Melaka Berhad (SAMB),"Tingkat 5, Wisma Air,Jalan Hang Tuah, Melaka 75300 Malaysia",606-2921758/59/60,606-2837266,info@samb.com.my,http://www.samb.com.my,,,,,,,
Syarikat Air Negeri Sembilan Sdn. Bhd,2.718581,101.948982,Syarikat Air Negeri Sembilan Sdn. Bhd,"Syarikat Air Negeri Sembilan Tingkat 2, Kompleks PKNNS Jalan Persiaran S2 B2 70300 Seremban Negeri Sembilan Darul Khusus",606-603 3500,606-601 7513,"",http://www.sainswater.com/v1/bm/,,,,,,,
Syarikat Air Terengganu Sdn Bhd (SATU),5.329003999999999,103.139137,Syarikat Air Terengganu Sdn Bhd (SATU),"Jalan Sultan Ismail, 20200 Kuala Terengganu, Terengganu, Malaysia",09-620 1154,09-620 1104,"",http://www.satuwater.com.my/,,,,,,,
Syarikat Bekalan Air Selangor Sdn. Bhd.,3.117751,101.667362,Syarikat Bekalan Air Selangor Sdn. Bhd.,"Peti Surat 5001, Jalan Pantai Baharu, 59990 Kuala Lumpur",0322826244,0322955168,puspel@syabas.com.my,http://www.syabas.com.my,,,,,,,
Syarikat SESCO Berhad,1.530976,110.34421989999998,Syarikat SESCO Berhad,"Sarawak Energy Berhad Menara Sarawak Energy, No. 1, The Isthmus, 93050 Kuching, Sarawak, Malaysia.",1300-88-3111,+6 082-344433,customercare@sarawakenergy.com.my,http://www.sarawakenergy.com.my/,,,,,,,
Tabung Amanah Pendidikan Melaka (TAPEM),2.265076,102.28392499999995,Tabung Amanah Pendidikan Melaka (TAPEM),"No 34-4, Tingkat 4, Bangunan Kota Cemerlang Hang Tuah Jaya, 75450 Lebuh Ayer Keroh Melaka",06-333 3333,06-233 1450,tapem@melaka.gov.my,http://tapem.melaka.gov.my/,,,,,,,
Tabung Baitulmal Sarawak,1.530976,110.34421989999998,Tabung Baitulmal Sarawak,"Bangunan Baitulmal, Lot 71, Seksyen 8, KTLD, Jalan Haji Muhamad Kassim, 93400 Kuching, Sarawak.",6082 - 415563,6082 - 253786,admin@tbs.org.my,http://www.tbs.org.my,,,,,,,
Taman Botani Negara Shah Alam,3.095602,101.511595,Taman Botani Negara Shah Alam,"Taman Botani Negara Shah Alam, 40000 Shah Alam, Selangor",0355106922,0355100922,tbnsa@moa.gov.my,http://tamanpertanianmalaysia.gov.my,,,,,,,
Taman Industri Kota Kinabalu,5.976757,116.115735,Taman Industri Kota Kinabalu,"First Floor Amenity Centre,Lot 11B, Industrial Zone 1, No 9 Jalan 1A,KKIP Selatan,88460,Kota Kinabalu Industrial Park, P.O Box. 21955 88777 Luyang",6088-498001,6088-498014,kkip@sabah.com.my,http://www.kkip.com.my/,,,,,,,
Taman Pertanian Sabah,4.987223,115.92408309999996,Taman Pertanian Sabah,"Taman Pertanian Sabah WDT, 28 89909 TENOM, SABAH, MALAYSIA",(6) 087-737952 / 737,(6) 087-737571,agripark@sabah.net.my,http://www.sabah.net.my/agripark/home.html,,,,,,,
Technology Park Malaysia (TPM),3.056278,101.70269800000005,Technology Park Malaysia (TPM),"Technology Park Malaysia Level 5, Enterprise 4 Technology Park Malaysia 57000 Bukit Jalil, Kuala Lumpur.",60-3-8998 2020,60-3-8998 2110,info@tpm.com.my,http://www.tpm.com.my/,,,,,,,
TEKUN Nasional,3.072237,101.70965,TEKUN Nasional,"TEKUN NASIONAL Kementerian Pertanian dan Industri Asas Tani, No 2, Jalan Tasik Selatan 4, Bandar Tasik Selatan, 57000 Kuala Lumpur.",603-9058 8550,603-90595777,mailbox@tekun.gov.my,http://www.tekun.gov.my/web/guest/home,,,,,,,
Telekom Malaysia Berhad (TM),3.1161111,101.66638890000002,Telekom Malaysia Berhad (TM),"Telekom Malaysia Berhad Level 51, North Wing, Menara TM Jalan Pantai Baru 50672 Kuala Lumpur Malaysia.",+60-3-2240 1221,+60-3-2283 2415,-,http://www.tm.com.my/,,,,,,,
Tenaga Nasional Berhad,3.121094,101.67279,Tenaga Nasional Berhad,"No 129, Jalan Bangsar 59200 Kuala Lumpur",0322965566,0322833686,"",http://www.tnb.com.my/,https://www.facebook.com/TNBCareline,,,,,http://www.tnb.com.my/announcement/rss,
Tentera Darat Malaysia,3.175332,101.725018,Tentera Darat Malaysia,"Tentera Darat Malaysia, Wisma Pertahanan, Jalan Padang Tembak, 50634 Kuala Lumpur",0326921333,0326941419,akh.dit@mod.gov.my,http://army.mod.gov.my/,,,,,,,
Tentera Laut DiRaja Malaysia,3.175177,101.725008,Tentera Laut DiRaja Malaysia,"Wisma Pertahanan, Jalan Padang Tembak, 50634, Kuala Lumpur",603-2071 4584,603-2692 4468,webmaster@navy.mil.my,http://www.navy.mil.my,,,,,,,
Tentera Udara DiRaja Malaysia,3.175177,101.725008,Tentera Udara DiRaja Malaysia,"Jalan Padang Tembak, 50634, Kuala Lumpur",603-2071 4922,603-2692 5975,webmaster@airforce.gov.my,http://www.airforce.gov.my/,,,,,,,
Tourism Malaysia,2.898156,101.668553,Tourism Malaysia,"Tingkat 9, No.2 Menara 1, Jalan P5/6, Presint 5, 62200 Putrajaya",0388918000,0388918600,enquiries@tourism.gov.my,www.tourism.gov.my,www.facebook.com/friendofmalaysia,,www.twitter.com/TourismMalaysia,http://blog.tourism.gov.my,,,www.youtube.com/MalaysiaTrulyAsia
UDA Holdings Berhad,3.145294,101.710889,"","CORPORATE SERVICES DIVISION BB Plaza,Lot 111, Jalan Bukit Bintang, 55100 Kuala Lumpur.",603-2730 8448,603-2731 2855,arcos@udanet.com,http://www.uda.com.my/web/guest/home,,,,,,,
Unit Audit Dalam Negeri Kelantan,6.122013,102.2523,Unit Audit Dalam Negeri Kelantan,"Blok 2, Aras Bawah, Kompleks Kota Darulnaim, 15503 Kota Bharu, Kelantan.",09-7481957,09-7470373,uad@kelantan.gov.my,http://www.uad.kelantan.gov.my/,,,,,,,
Unit Kawal Selia FELDA,2.9366817,101.69951679999997,Unit Kawal Selia FELDA,"Unit Kawal Selia FELDA (UKSF), Jabatan Perdana Menteri,Aras 4, Blok B3, Komplek B, Pusat Pentadbiran Kerajaan Persekutuan 62502 Putrajaya",603-88724806,603-88880734,"",http://www.uksf.gov.my/,,,,,,,
Unit Kerjasama Awam Swasta(UKAS),2.921172,101.685813,Unit Kerjasama Awam Swasta(UKAS),"Unit Kerjasama Awam Swasta (UKAS), Jabatan Perdana Menteri, Aras 2-4, 8-10 & 14, Blok Menara, Menara Usahawan, Persiaran Perdana, Presint 2, 62652 Putrajaya",0388805800,0388805810,feedback@ukas.gov.my,http://www.ukas.gov.my/,https://www.facebook.com/pages/Unit-Kerjasama-Awam-Swasta-Jabatan-Perdana-Menteri/117094421658324,,,,,http://www.ukas.gov.my/web/guest/rss-ukas,http://www.youtube.com/user/UKAS3PU
Unit Pemodenan Tadbiran dan Perancangan Pengurusan Malaysia(MAMPU),2.937097,101.695506,Unit Pemodenan Tadbiran dan Perancangan Pengurusan Malaysia(MAMPU),"Aras 6, Blok B2,Kompleks Jabatan Perdana Menteri,Pusat Pentadbiran Kerajaan Persekutuan,",0380008000,0388883721,webmaster@mampu.gov.my,http://www.mampu.gov.my,https://www.facebook.com/mampujpm,,https://twitter.com/MAMPUJPM,http://www.mampu.gov.my/blog/,http://www.flickr.com/photos/mampujpm,http://www.mampu.gov.my/feedscontents,http://www.youtube.com/user/MAMPUJPM
Unit Peneraju Agenda Bumiputera(TERAJU),3.155752,101.609646,Unit Peneraju Agenda Bumiputera(TERAJU),"Jabatan Perdana Menteri 5th Floor, Surian Tower, No. 1, Jalan PJU 7/3, Mutiara Damansara, 47810, Selangor Darul Ehsan",0378398000,0378398100,info@teraju.gov.my,http://www.teraju.gov.my/,,,,,,,
Unit Pengurusan Maklumat Negeri (UPMN) Terengganu,5.3305973,103.1408983,Unit Pengurusan Maklumat Negeri (UPMN) Terengganu,"Unit Pengurusan Maklumat Negeri, Pejabat Setiausaha Kerajaan Terengganu, Tingkat 2, Wisma Darul Iman, 20503 Kuala Terengganu, Terengganu.",609 - 623 1957,609 - 623 7485,webmasterupmn@terengganu.gov.my,http://upmn.terengganu.gov.my/,,,,,,,
Unit Penyelarasan Pelaksanaan,2.938584,101.693312,Unit Penyelarasan Pelaksanaan,"Unit Penyelarasan Pelaksanaan, Jabatan Perdana Menteri Bangunan Perdana Putra, Pusat Pentadbiran Kerajaan Persekutuan, 62502 Putrajaya, Malaysia",603-8888 1957,603-8888 3528 / 3646,pertanyaan@icu.gov.my,http://www.icu.gov.my,http://www.facebook.com/people/Icu-Jpm/100003666819447,,https://twitter.com/#!/ICU_JPM,,,,
Unit Perancang Ekonomi,2.934769,101.695504,Unit Perancang Ekonomi,"Unit Perancang Ekonomi, Jabatan Perdana Menteri, Blok B5 & Blok B6, Pusat Pentadbiran Kerajaan Persekutuan, 62502 Putrajaya",0388723333,0388883755,-,http://www.epu.gov.my/,https://www.facebook.com/pages/Unit-Perancang-Ekonomi/307318048869?ref=ts,,,http://www.epu.gov.my/blog,,http://www.epu.gov.my/rssfeed,http://www.youtube.com/user/EPUupe
Unit Perancang Ekonomi Negeri Sabah,5.951656000000001,116.06900599999994,Unit Perancang Ekonomi Negeri Sabah,"LOT 6-10, WISMA SEDIA, OFF JALAN PINTAS, PENAMPANG, 88300 KOTA KINABALU",088-450999 / 088-450,088 - 450998,mohdfowzi.mdrazi@sabah.gov.my,http://www.sabah.gov.my/upen/,,,,,,,
Universiti Islam Antarabangsa Malaysia (UIAM),3.257107,101.732362,Universiti Islam Antarabangsa Malaysia (UIAM),"International Islamic University Malaysia, P.O. Box 10, 50728 Kuala Lumpur",603-6196 4000 / 4400,603-61964053,webmaster@iium.edu.my,http://www.iium.edu.my/,,,,,,,
Universiti Kebangsaan Malaysia (UKM),2.930408,101.77869,Universiti Kebangsaan Malaysia (UKM),"Universiti Kebangsaan Malaysia, 43600 UKM Bangi, Selangor",0389215540,0389214097,"",http://www.ukm.my,https://facebook.com/bahagian.pengurusanakademikukm,,http://twitter.com/UKMNewsportal,,,,
Universiti Malaya (UM),3.121078,101.656922,Universiti Malaya (UM),"International and Corporate Relations Office (ICR) Level L, Chancellery Building University of Malaya 50603 Kuala Lumpur",603-7967 7022 / 3273,603-7956 0027,icr@um.edu.my,http://www.um.edu.my,,,,,,,http://www.youtube.com/umwebcast
Universiti Malaysia Kelantan (UMK),6.164929,102.282521,Universiti Malaysia Kelantan (UMK),"Universiti Malaysia Kelantan, Karung Berkunci 36, 16100 Pengkalan Chepa, Kota Bharu, Kelantan",097717000,097717022,webmaster@umk.edu.my,http://www.umk.edu.my,,,,,,,
Universiti Malaysia Pahang (UMP),3.72091,103.124861,Universiti Malaysia Pahang (UMP),"Universiti Malaysia Pahang Lebuhraya Tun Razak, 26300 Gambang Kuantan, Pahang",609-5492501,609-5493199,pro@ump.edu.my,http://www.ump.edu.my/,https://www.facebook.com/universiti.malaysia.pahang,,http://twitter.com/umpmalaysia,,,http://newsfeed.ump.edu.my/feed/berita.php,http://www.youtube.com/watch?v=Iw-6K5afkcQ
